timestamp,lane,qr_data,method
2026-06-19 08:24:06.282,L2,SHP2401LE-1.0-2606028983V,pyzbar
2026-06-19 08:24:08.034,L1,SHP2401LE-1.0-2606028984V,pyzbar
2026-06-19 08:24:10.042,L1,SHP2401LE-1.0-2606028984V,pyzbar
2026-06-19 08:24:10.777,L2,SHP2401LE-1.0-2606028987V,pyzbar
2026-06-19 08:24:12.060,L1,SHP2401LE-1.0-2606028986V,pyzbar
2026-06-19 08:24:12.791,L2,SHP2401LE-1.0-2606028987V,pyzbar
2026-06-19 08:24:14.060,L1,SHP2401LE-1.0-2606028990V,pyzbar
2026-06-19 08:24:14.799,L2,SHP2401LE-1.0-2606028991V,pyzbar
2026-06-19 08:24:16.062,L1,SHP2401LE-1.0-2606028992V,pyzbar
2026-06-19 08:24:16.801,L2,SHP2401LE-1.0-2606028993V,pyzbar
2026-06-19 08:24:18.074,L1,SHP2401LE-1.0-2606028998V,pyzbar
2026-06-19 08:24:18.810,L2,SHP2401LE-1.0-2606029001V,pyzbar
2026-06-19 08:24:20.074,L1,SHP2401LE-1.0-2606029000V,pyzbar
2026-06-19 08:24:20.826,L2,SHP2401LE-1.0-2606029005V,pyzbar
2026-06-19 08:24:22.077,L1,SHP2401LE-1.0-2606029004V,pyzbar
2026-06-19 08:24:23.244,L2,SHP2401LE-1.0-2606029009V,pyzbar
2026-06-19 08:24:24.083,L1,SHP2401LE-1.0-2606029008V,pyzbar
2026-06-19 08:24:25.245,L2,SHP2401LE-1.0-2606029013V,pyzbar
2026-06-19 08:24:26.091,L1,SHP2401LE-1.0-2606029012V,pyzbar
2026-06-19 08:24:27.259,L2,SHP2401LE-1.0-2606029013V,pyzbar
2026-06-19 08:24:28.095,L1,SHP2401LE-1.0-2606029018V,pyzbar
2026-06-19 08:24:30.002,L2,SHP2401LE-1.0-2606029021V,pyzbar
2026-06-19 08:24:30.107,L1,SHP2401LE-1.0-2606029020V,pyzbar
2026-06-19 08:24:32.002,L2,SHP2401LE-1.0-2606029021V,pyzbar
2026-06-19 08:24:32.112,L1,SHP2401LE-1.0-2606029020V,pyzbar
2026-06-19 08:24:34.022,L2,SHP2401LE-1.0-2606029023V,pyzbar
2026-06-19 08:24:34.718,L1,SHP2401LE-1.0-2606029026V,pyzbar
2026-06-19 08:24:36.028,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:36.915,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:38.029,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:38.921,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:40.034,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:40.931,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:42.069,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:42.934,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:44.071,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:44.937,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:46.074,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:46.938,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:48.077,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:48.939,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:50.083,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:50.940,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:52.088,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:52.945,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:54.090,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:54.946,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:56.091,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:56.949,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:24:58.096,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:24:58.967,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:00.111,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:00.972,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:02.118,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:02.972,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:04.129,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:04.980,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:06.132,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:06.990,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:08.134,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:08.990,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:10.143,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:10.999,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:12.161,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:13.005,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:25:14.172,L2,SHP2401LE-1.0-2606029029V,pyzbar
2026-06-19 08:25:15.006,L1,SHP2401LE-1.0-2606029028V,pyzbar
2026-06-19 08:29:46.495,L1,SHP2401LE-1.0-2606029018V,pyzbar
2026-06-19 08:30:29.168,L1,SHP2401LE-1.0-2606029018V,pyzbar
2026-06-19 08:34:20.554,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:34:20.637,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:34:22.560,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:34:22.641,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:34:24.562,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:34:24.657,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:34:26.565,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:34:26.674,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:36:06.966,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:36:07.268,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:36:08.980,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:36:09.273,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:36:10.993,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:36:11.276,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:36:12.994,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:36:13.280,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:36:15.007,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:36:15.283,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:36:17.016,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:37:58.136,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:37:58.439,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:00.141,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:00.445,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:02.143,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:02.447,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:04.146,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:04.448,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:06.150,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:06.460,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:08.156,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:08.462,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:10.156,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:10.464,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:12.158,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:12.484,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:14.159,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:14.487,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:16.186,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:16.488,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:18.187,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:18.492,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:20.196,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:20.500,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:38:22.213,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:38:22.501,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:42.193,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:42.496,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:44.194,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:44.499,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:46.197,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:46.503,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:48.208,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:48.504,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:50.208,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:50.507,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:52.227,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:52.511,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:54.229,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:54.513,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:56.234,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:56.517,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:40:58.235,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:40:58.523,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:41:00.239,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:41:00.523,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:41:02.242,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:41:02.535,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:41:04.245,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:41:04.537,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:41:06.250,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:41:06.544,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:41.094,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:41.397,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:43.099,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:43.408,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:45.115,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:45.420,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:47.116,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:47.423,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:54.290,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:54.498,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:56.295,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:56.509,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:42:58.298,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:42:58.510,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:43:00.299,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:43:00.515,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:43:02.301,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:43:02.517,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:43:04.309,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:43:04.526,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:43:06.314,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:43:06.530,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:43:08.323,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:43:08.538,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:43:10.324,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:43:10.543,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:51:05.889,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:51:06.192,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:51:07.893,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:51:08.195,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:51:09.903,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:51:10.201,L2,SHP2401LE-1.0-2606029025V,pyzbar
2026-06-19 08:51:11.912,L1,SHP2401LE-1.0-2606029024V,pyzbar
2026-06-19 08:51:13.915,L1,SHP2401LE-1.0-2606029032V,pyzbar
2026-06-19 08:51:14.745,L2,SHP2401LE-1.0-2606029037V,pyzbar
2026-06-19 08:51:15.923,L1,SHP2401LE-1.0-2606029038V,pyzbar
2026-06-19 08:51:16.749,L2,SHP2401LE-1.0-2606029039V,pyzbar
